"","hero","bronze_pick_rate","silver_pick_rate","gold_pick_rate","platinum_pick_rate","diamond_pick_rate","master_pick_rate","grandmaster_pick_rate","totalpick"
"1","Ana",0.075,0.0948,0.1171,0.1296,0.1263,0.0984,0.0419,0.6831
"2","Reinhardt",0.088,0.1027,0.11,0.1164,0.1032,0.0778,0.062,0.6601
"3","Zarya",0.0549,0.0729,0.0862,0.0957,0.0962,0.0852,0.0829,0.574
"4","Mercy",0.0958,0.0937,0.091,0.0782,0.0673,0.0699,0.0649,0.5608
"5","McCree",0.0471,0.0562,0.0646,0.0709,0.0765,0.0711,0.061,0.4474
"6","Zenyatta",0.0261,0.0247,0.0288,0.036,0.048,0.0716,0.0941,0.3293
"7","Wrecking Ball",0.0181,0.0183,0.023,0.0309,0.0445,0.0639,0.0998,0.2985
"8","Baptiste",0.0322,0.0352,0.0354,0.036,0.037,0.0496,0.0565,0.2819
"9","Sigma",0.0329,0.0297,0.0275,0.0289,0.0342,0.0468,0.0599,0.2599
"10","Lucio",0.0418,0.0352,0.0308,0.0291,0.0289,0.0352,0.0434,0.2444
"11","Roadhog",0.0236,0.0246,0.0297,0.0348,0.0415,0.0465,0.0373,0.238
"12","Moira",0.0643,0.0599,0.0451,0.0259,0.0123,0.0056,0.0044,0.2175
"13","Hanzo",0.0269,0.0301,0.0315,0.0336,0.0349,0.0294,0.0249,0.2113
"14","Soldier:76",0.0375,0.0381,0.0335,0.0284,0.024,0.0174,0.009,0.1879
"15","Tracer",0.0129,0.0134,0.0153,0.0206,0.0303,0.0413,0.0523,0.1861
"16","Ashe",0.0243,0.0254,0.0256,0.0252,0.0238,0.0225,0.0286,0.1754
"17","Genji",0.0206,0.0219,0.029,0.0361,0.034,0.0208,0.0079,0.1703
"18","Junkrat",0.0524,0.0446,0.0284,0.0157,0.0086,0.0059,0.0071,0.1627
"19","D.V.A",0.0372,0.023,0.0164,0.0123,0.0112,0.0109,0.0196,0.1306
"20","Winston",0.0159,0.0144,0.0151,0.0164,0.0185,0.0204,0.0182,0.1189
"21","Echo",0.0167,0.014,0.0139,0.0137,0.0151,0.0178,0.0214,0.1126
"22","Brigitte",0.0115,0.0101,0.0086,0.0086,0.0123,0.0217,0.0349,0.1077
"23","Widowmaker",0.0081,0.0078,0.0097,0.0132,0.0187,0.0191,0.019,0.0956
"24","Pharah",0.0175,0.0185,0.0156,0.0118,0.0097,0.0095,0.0056,0.0882
"25","Reaper",0.0261,0.0227,0.0161,0.0093,0.0048,0.0033,0.0024,0.0847
"26","Doomfist",0.0105,0.0107,0.012,0.0126,0.0128,0.0118,0.0108,0.0812
"27","Torbjorn",0.018,0.0141,0.0103,0.0084,0.008,0.0085,0.007,0.0743
"28","Orisa",0.0239,0.0112,0.006,0.0037,0.0034,0.0053,0.0082,0.0617
"29","Symmetra",0.0143,0.0108,0.0082,0.0061,0.0043,0.0046,0.0046,0.0529
"30","Mei",0.01,0.009,0.0065,0.0045,0.0037,0.0038,0.006,0.0435
"31","Sombra",0.007,0.0068,0.0062,0.0057,0.0042,0.0032,0.0027,0.0358
"32","Bastion",0.0089,0.0057,0.0031,0.002,0.0016,0.0013,0.002,0.0246
